iter	Passed	Remaining
196	319	1303
197	320	1297
198	321	1292
199	323	1294
200	324	1290
201	325	1284
202	326	1280
203	326	1275
204	327	1269
205	327	1264
206	328	1260
207	329	1254
208	330	1249
209	331	1246
210	332	1242
211	333	1239
212	336	1242
213	337	1238
214	341	1246
215	342	1242
216	343	1238
217	343	1233
218	344	1228
219	344	1223
220	345	1218
221	347	1218
222	348	1214
223	349	1210
224	350	1206
225	351	1202
226	352	1198
227	352	1194
228	353	1190
229	354	1186
230	355	1182
231	355	1178
232	356	1173
233	357	1169
234	357	1165
235	358	1160
236	359	1156
237	359	1151
238	360	1147
239	361	1144
240	363	1143
241	364	1140
242	365	1137
243	366	1134
244	366	1130
245	367	1126
246	368	1123
247	369	1119
248	369	1115
249	370	1111
250	371	1107
251	371	1103
252	372	1099
253	373	1095
254	373	1091
255	374	1087
256	375	1084
257	376	1082
258	377	1079
259	378	1077
260	379	1073
261	379	1069
262	380	1065
263	380	1061
264	381	1058
265	382	1054
266	382	1051
267	383	1047
268	384	1043
269	384	1040
270	385	1036
271	386	1033
272	386	1030
273	387	1026
274	388	1022
275	388	1019
276	389	1015
277	389	1012
278	390	1010
279	392	1008
280	392	1005
281	394	1003
282	394	1000
283	395	998
284	396	995
285	397	992
286	398	989
287	399	987
288	402	989
289	402	986
290	403	983
291	404	980
292	405	978
293	406	976
294	407	974
295	408	971
296	409	968
297	410	966
298	410	963
299	411	960
300	412	958
301	413	955
302	414	953
303	415	950
304	415	947
305	416	944
306	416	941
307	417	937
308	418	934
309	418	931
310	419	929
311	421	928
312	422	926
313	422	924
314	423	921
315	424	919
316	425	917
317	426	914
318	428	914
319	429	911
320	429	908
321	430	905
322	430	902
323	431	899
324	432	897
325	432	894
326	436	897
327	437	895
328	438	893
329	439	891
330	440	889
331	441	888
332	443	887
333	444	886
334	445	884
335	446	881
336	450	887
337	452	887
338	453	885
339	454	883
340	456	882
341	458	882
342	460	881
343	461	879
344	462	878
345	464	877
346	465	876
347	466	874
348	467	872
349	468	869
350	469	867
351	472	869
352	474	869
353	475	867
354	476	865
355	478	866
356	479	864
357	480	862
358	482	861
359	484	861
360	485	859
361	490	864
362	492	864
363	493	862
364	495	861
365	495	859
366	497	858
367	498	856
368	499	854
369	500	852
370	501	850
371	502	848
372	505	850
373	507	850
374	509	848
375	510	847
376	512	846
377	516	849
378	517	847
379	518	845
380	522	848
381	523	846
382	524	845
383	525	843
384	526	841
385	527	839
386	528	837
387	529	834
388	530	833
389	531	831
390	532	829
391	533	827
392	534	825
393	535	823
394	535	820
395	536	818
396	537	816
397	538	814
398	539	812
399	540	810
400	541	808
401	541	806
402	542	804
403	544	802
404	544	800
405	546	799
406	546	796
407	547	794
408	559	808
409	560	806
410	560	803
411	561	801
412	562	799
413	563	797
414	563	794
415	564	792
416	565	790
417	565	787
418	566	785
419	567	783
420	568	781
421	569	779
422	569	777
423	570	775
424	571	773
425	572	771
426	573	769
427	574	767
428	576	767
429	576	764
430	577	762
431	578	760
432	578	757
433	579	755
434	579	753
435	580	750
436	581	748
437	581	746
438	582	744
439	583	742
440	584	740
441	585	738
442	585	736
443	586	734
444	587	732
445	588	731
446	589	729
447	591	728
448	591	726
449	592	724
450	593	722
451	594	720
452	596	720
453	597	719
454	598	717
455	600	715
456	601	714
457	602	712
458	603	710
459	604	710
460	605	708
461	606	706
462	606	703
463	607	701
464	608	699
465	608	697
466	609	695
467	610	693
468	611	692
469	612	690
470	613	688
471	614	687
472	614	685
473	615	683
474	617	682
475	619	682
476	620	680
477	621	678
478	622	676
479	622	674
480	623	672
481	623	670
482	625	669
483	626	667
